We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
But I must also remind you that I have received six motions for resolutions to close this debate . ||| Ich muß Sie jedoch noch daran erinnern , daß zum Abschluß dieser Aussprache sechs Entschließungsanträge eingegegangen sind .
The World Poverty summit in Copenhagen last year set us all the ambitious aim of eliminating absolute poverty world-wide . ||| Auf dem Weltsozialgipfel in Kopenhagen letztes Jahr wurde für uns alle das ehrgeizige Ziel festgelegt , absolute Armut weltweit zu beseitigen .
I doubt whether the countries in question will vote for the proposal at the Intergovernmental Conference . ||| Ich bezweifle , ob die betroffenen Länder auf der Regierungskonferenz diesem Vorschlag zustimmen werden .
The Danish social democrats have voted in favour of the proposal to amend the list of extraction solvents , since the change does not affect the level of protection in Denmark . ||| Die dänischen Sozialdemokraten haben für den Vorschlag zur Änderung der Liste mit Extraktionslösungsmittel gestimmt , da sich die Änderung nicht auf das dänische Schutzniveau auswirkt .
We call on it for a burst of courage . ||| Wir rufen den Rat zu einem mutigen Schritt auf .
I had asked about the development of the single European market , in which three of the four freedoms are a danger , in my belief , to children . ||| Ich hatte in meiner Anfrage von der Entwicklung des Binnenmarktes gesprochen , in dem drei der vier Grundfreiheiten meines Erachtens für Kinder eine Gefahr bedeuten .
We must therefore ensure that we conduct a policy in Member States which makes young people and others say no to narcotics . ||| Wir müssen also dafür sorgen , daß wir in den Mitgliedsländern eine Politik führen , die bewirkt , daß Jugendliche und andere nein zu Drogen sagen .
It concerns the approximation not just of type approval but also of technical tests and integrating them on a European basis . ||| Es geht darum , neben der Typzulassung auch die technische Überwachung anzugleichen und europäisch zu integrieren .
This initiative appears totally inopportune in a context of budget austerity . ||| Diese Initiative erscheint in einem Kontext der Haushaltsstrenge völlig unangebracht .
It is true that to accept the challenge would have had the effect of endangering the interinstitutional agreement and starting a budget dispute . ||| Hätte man die Herausforderung angenommen , so hätte dies natürlich zur Folge gehabt , daß man das interinstitutionelle Abkommen in Gefahr bringt und den Haushaltskonflikt auslöst .
Culture is being exterminated . ||| Die Kultur wird vernichtet .
If there is no conclusive decision from the government , cereal production will deteriorate further in 1997 and 1998 . ||| Sofern die Regierung keine endgültige Entscheidung trifft , wird die Getreideproduktion 1997 und 1998 noch weiter zurückgehen .
Mr President , I agree with the previous speaker ; unfortunately it is easy to see in the case of Belarus what the legacy of the Soviet Union still means today . ||| Herr Präsident ! Ich kann mich den Worten der Vorredner anschließen ; man kann leider in dem Fall Weißrußlands nur sehen , was das Erbe der Sowjetunion heute noch bedeutet .
Would it not be more correct , legally speaking , to place the measures under the third pillar and act at an intergovernmental level ? ||| Wäre es , juristisch betrachtet , nicht angemessener , die Maßnahmen im Rahmen des dritten Pfeilers durchzuführen und auf Regierungsebene vorzugehen ?
I therefore call again on the Commission to start and close negotiations in good time in future so that the proper consultation procedure can be concluded and a legal base adopted before payments are made . ||| Ich fordere die Kommission also erneut auf , künftig Verhandlungen so rechtzeitig zu beginnen und abzuschließen , daß das ordnungsgemäße Konsultationsverfahren abgeschlossen und eine Rechtsgrundlage verabschiedet werden kann , bevor gezahlt wird .
The industry was expecting that . ||| Die Industrie hatte dies erwartet .
This is a hypocritical budget heading , given the environmental damage that we cause in our own countries . ||| Diese Haushaltslinie ist verlogen angesichts dessen , was wir an Umweltzerstörung in den Ländern betreiben !
It may be that media interest in AIDS in the developing countries has declined , but in any event it is not a major subject of public debate at the moment . ||| AIDS in den Entwicklungsländern ist ein Thema , welches zur Zeit die Medien vielleicht nicht so stark interessiert , jedenfalls derzeit in der Öffentlichkeit nicht so stark diskutiert wird .
I think that that is the very great merit of Mrs McNally 's position and I must therefore congratulate her on her report . ||| Dies halte ich für überaus verdienstvoll an Frau McNallys Haltung , und ich möchte ihr hier noch einmal zu ihrem Bericht gratulieren .
In a nutshell , we believe it is right to be concerned about this issue , but this is the wrong legislation . ||| Meine Damen und Herren , kurz : Das Anliegen halten wir für richtig , die Rechtsetzung für falsch .
We shall seek to promote greater cohesion between the regions via improvement of the transfer of know-how on aspects of energy-saving strategy from regions with a developed energy efficiency dynamic to regions which are significantly behind in that respect . ||| Außerdem unterstützen wir den Zusammenhalt zwischen unseren Regionen durch Verbesserung des Transfers von Kenntnissen in Fragen der Energieeinsparungsstrategie von Gebieten mit bereits entwickeltem Energieeffizienzpotential nach Gebieten , die diesbezüglich noch einen erheblichen Aufholbedarf haben .
I now come to the statement of assurance . ||| Ich komme nun zum Zertifikat .
I am happy to inform you today that I was able to present a first report to Ecofin yesterday . ||| Es freut mich , Ihnen heute mitteilen zu können , daß ich gestern bei Ecofin den ersten Bericht vorlegen konnte .
Both of these considerations have to be taken into account in our decision concerning the legal imposition of compulsory quotas of European productions in television broadcasts . ||| Diese beiden Punkte müssen wir bei unserer Entscheidung bezüglich der verbindlichen Einführung von Quoten für europäische Produktionen auf dem Fernsehbildschirm berücksichtigen .
It is currently a matter of regret to us that the Hautala report has not provided the opportunity for real coordination of Community policies on competition , industrial policy , trade and the internal market . ||| Wir nehmen den Bericht Hautala zum Anlaß , um uns heute über das Fehlen einer echten Koordinierung der Gemeinschaftspolitiken in den Bereichen Wettbewerb , Industriepolitik , Handel und Binnenmarkt zu beklagen .
It appears from contacts with the Commission that this is a problem in cross-border traffic in other Member States , too . ||| Kontakte mit der Kommission haben ergeben , daß dieses Problem auch im Grenzverkehr in anderen Mitgliedstaaten existiert .
This is a view we do not in any way share . ||| Diese Ansicht teilen wir überhaupt nicht .
Let me start by restating our determination that the European Union should play its part in this process , as indeed it is already doing through substantial economic and financial aid . ||| Ich darf zunächst daran erinnern , daß die Europäische Union durchaus bereit ist , ihre Rolle in diesem Prozeß zu spielen . Sie hat dies schon mit erheblichen wirtschaftlichen und finanziellen Hilfsmaßnahmen getan .
A minimum with exceptions is not a minimum . ||| Ein Minimum , bei dem noch Ausnahmen bestehen , ist kein Minimum mehr .
But perhaps the Commission could also answer the question , or else it could do something very simple . ||| Aber vielleicht könnte auch die Kommission die Frage beantworten , oder sie könnte etwas ganz einfaches tun .
I hope , therefore , that there will be some further attention to procedures so that we can be accountable . ||| Ich hoffe deshalb , daß der Geschäftsordnung in Zukunft etwas mehr Aufmerksamkeit gewidmet wird , damit wir unsere Rechenschaftspflicht erfüllen können .
Parliament has adopted amendments which define nuclear technology as unsustainable , and here we all need to clarify what we mean with regard to sustainability and the nuclear issue . ||| Das Parlament hat Änderungsanträge angenommen , in denen die Kerntechnologie als nicht nachhaltig bezeichnet wird , und hier müssen wir gemeinsam klären , was wir in bezug auf Nachhaltigkeit und Kernenergie eigentlich meinen .
It is vital for both farmers and the industry for the Commission to introduce a specific support system for non-food crops and to that end I call for a separate system of support for these crops . ||| Sowohl für die Landwirte als auch für die Industrie ist es von essentieller Bedeutung , daß die Kommission ein spezifisches Stützungssystem für Non-food-Kulturen entwickelt , und in diesem Sinne fordere ich ein unabhängiges Stützungssystem für diese Kulturen .
